# y+ ()       
# Time        	patch         	min           	max           	average       
0.0431945     	WALL	2.431233e-03	2.108806e+01	2.421201e+00
0.0437862     	BOTTOM	1.257018e-07	1.636174e+01	1.705205e+00
0.0437862     	WALL	2.371611e-03	2.106887e+01	2.431524e+00
0.0443802     	BOTTOM	4.267394e-07	1.648644e+01	1.719458e+00
0.0443802     	WALL	2.310560e-03	2.104128e+01	2.442199e+00
0.0449787     	BOTTOM	1.544868e-07	1.661060e+01	1.733658e+00
0.0449787     	WALL	2.284356e-03	2.100558e+01	2.453388e+00
0.0455796     	BOTTOM	7.623020e-07	1.673455e+01	1.747828e+00
0.0455796     	WALL	2.211990e-03	2.095988e+01	2.464506e+00
0.0461828     	BOTTOM	4.921197e-07	1.685783e+01	1.761968e+00
0.0461828     	WALL	2.057306e-03	2.090432e+01	2.475154e+00
0.0467884     	BOTTOM	1.431935e-07	1.698046e+01	1.776087e+00
0.0467884     	WALL	1.955913e-03	2.084327e+01	2.485315e+00
0.0473964     	BOTTOM	9.865036e-08	1.710248e+01	1.790153e+00
0.0473964     	WALL	1.913655e-03	2.077938e+01	2.495490e+00
0.0480068     	BOTTOM	3.745235e-07	1.722388e+01	1.804215e+00
0.0480068     	WALL	1.914493e-03	2.071180e+01	2.507199e+00
0.0486197     	BOTTOM	5.080620e-07	1.734473e+01	1.818275e+00
0.0486197     	WALL	1.965133e-03	2.063868e+01	2.522003e+00
0.0493098     	BOTTOM	3.624769e-07	1.746576e+01	1.832985e+00
0.0493098     	WALL	1.867017e-03	2.055335e+01	2.540290e+00
0.05          	BOTTOM	6.697357e-07	1.758763e+01	1.847507e+00
0.05          	WALL	1.722339e-03	2.046222e+01	2.558751e+00
0.0506198     	BOTTOM	4.308830e-07	1.770936e+01	1.861412e+00
0.0506198     	WALL	1.583721e-03	2.040195e+01	2.575118e+00
0.0512423     	BOTTOM	1.990741e-07	1.783028e+01	1.875396e+00
0.0512423     	WALL	1.470050e-03	2.034433e+01	2.591813e+00
